period_date,mortgage_30y_rate,case_shiller_hpi
1971-04-01,7.31,
1971-05-01,7.42,
1971-06-01,7.53,
1971-07-01,7.6,
1971-08-01,7.7,
1971-09-01,7.69,
1971-10-01,7.63,
1971-11-01,7.55,
1971-12-01,7.48,
1972-01-01,7.44,
1972-02-01,7.32,
1972-03-01,7.3,
1972-04-01,7.29,
1972-05-01,7.37,
1972-06-01,7.37,
1972-07-01,7.4,
1972-08-01,7.4,
1972-09-01,7.42,
1972-10-01,7.42,
1972-11-01,7.43,
1972-12-01,7.44,
1973-01-01,7.44,
1973-02-01,7.44,
1973-03-01,7.46,
1973-04-01,7.54,
1973-05-01,7.65,
1973-06-01,7.73,
1973-07-01,8.05,
1973-08-01,8.5,
1973-09-01,8.82,
1973-10-01,8.77,
1973-11-01,8.58,
1973-12-01,8.54,
1974-01-01,8.54,
1974-02-01,8.46,
1974-03-01,8.41,
1974-04-01,8.58,
1974-05-01,8.97,
1974-06-01,9.09,
1974-07-01,9.28,
1974-08-01,9.59,
1974-09-01,9.96,
1974-10-01,9.98,
1974-11-01,9.79,
1974-12-01,9.62,
1975-01-01,9.43,
1975-02-01,9.1,
1975-03-01,8.9,
1975-04-01,8.82,
1975-05-01,8.91,
1975-06-01,8.89,
1975-07-01,8.89,
1975-08-01,8.94,
1975-09-01,9.13,
1975-10-01,9.22,
1975-11-01,9.14,
1975-12-01,9.1,
1976-01-01,9.02,
1976-02-01,8.81,
1976-03-01,8.75,
1976-04-01,8.73,
1976-05-01,8.76,
1976-06-01,8.85,
1976-07-01,8.93,
1976-08-01,9.0,
1976-09-01,8.98,
1976-10-01,8.93,
1976-11-01,8.81,
1976-12-01,8.79,
1977-01-01,8.72,
1977-02-01,8.67,
1977-03-01,8.69,
1977-04-01,8.75,
1977-05-01,8.83,
1977-06-01,8.86,
1977-07-01,8.94,
1977-08-01,8.94,
1977-09-01,8.9,
1977-10-01,8.92,
1977-11-01,8.92,
1977-12-01,8.96,
1978-01-01,9.02,
1978-02-01,9.14,
1978-03-01,9.2,
1978-04-01,9.36,
1978-05-01,9.57,
1978-06-01,9.71,
1978-07-01,9.74,
1978-08-01,9.78,
1978-09-01,9.76,
1978-10-01,9.86,
1978-11-01,10.11,
1978-12-01,10.35,
1979-01-01,10.39,
1979-02-01,10.41,
1979-03-01,10.43,
1979-04-01,10.5,
1979-05-01,10.69,
1979-06-01,11.04,
1979-07-01,11.09,
1979-08-01,11.09,
1979-09-01,11.3,
1979-10-01,11.64,
1979-11-01,12.83,
1979-12-01,12.9,
1980-01-01,12.88,
1980-02-01,13.04,
1980-03-01,15.28,
1980-04-01,16.33,
1980-05-01,14.26,
1980-06-01,12.71,
1980-07-01,12.19,
1980-08-01,12.56,
