Bronx Rolling Sales. All Sales From April 2025 - March 2026,,,,,,,,,,,,,,,,,,,PTS Sales Data as of 04/09/2026
"For sales prior to the Final Roll, Neighborhood Name and Descriptive Data reflect the most recent Final Roll. Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data."
Building Class Category is based on Building Class at Time of Sale.
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3029,35,,A5,416 EAST 180TH STREET,,10457,1,0,1,1575,1374,1899,1,A5,362000,2025-06-25 00:00:00
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3030,68,,A1,4449 PARK AVENUE,,10457,1,0,1,1668,1497,1899,1,A1,520000,2025-09-04 00:00:00
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3043,55,,A1,1948 BATHGATE AVENUE,,10457,1,0,1,2356,2047,1901,1,A1,0,2026-02-12 00:00:00
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3045,15,,A1,2058 BATHGATE AVENUE,,10457,1,0,1,1173,1516,1910,1,A1,500000,2025-12-02 00:00:00
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3046,40,,A1,2073 BATHGATE AVENUE,,10457,1,0,1,1933,1344,1899,1,A1,0,2025-06-06 00:00:00
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3053,86,,S0,2364 WASHINGTON AVENUE,,10458,1,2,3,1911,4080,1931,1,S0,999000,2026-01-28 00:00:00
2,BATHGATE,01 ONE FAMILY DWELLINGS,1,3053,103,,A1,2327 BASSFORD AVENUE,,10458,1,0,1,913,1248,1901,1,A1,655000,2025-12-18 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,2912,154,,B1,513 EAST 171 STREET,,10457,2,0,2,2000,2400,1993,1,B1,10,2025-10-14 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3030,27,,B2,411 EAST 180TH STREET,,10457,2,0,2,1888,1648,1901,1,B2,565000,2025-05-12 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3030,75,,B2,4437 PARK AVENUE,,10457,2,0,2,2444,2125,1899,1,B2,550000,2025-08-20 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3030,202,,B3,4465 PARK AVENUE,,10457,2,0,2,1569,1497,1899,1,B3,700000,2025-09-30 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3034,36,,B1,1945 WASHINGTON AVENUE,,10457,2,0,2,3197,2136,1995,1,B1,875000,2025-05-30 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3035,127,,B1,456 EAST 179 STREET,,10457,2,0,2,1790,2340,1998,1,B1,0,2025-05-31 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3037,122,,B2,4442 PARK AVENUE,,10457,2,0,2,2580,1382,1899,1,B2,565000,2025-11-21 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3039,20,,B3,468 EAST 185TH STREET,,10458,2,0,2,1800,1944,1910,1,B3,0,2025-07-31 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3039,149,,B1,456 EAST 186 STREET,,10458,2,0,2,2000,2400,1997,1,B1,0,2025-04-16 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3039,158,,B1,474 EAST 186TH STREET,,10458,2,0,2,2000,2400,1997,1,B1,0,2025-06-02 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3044,167,,B1,2008 BATHGATE AVENUE,,10457,2,0,2,2520,2340,1998,1,B1,930000,2025-05-22 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3045,17,,B2,2064 BATHGATE AVENUE,,10457,2,0,2,3493,2508,1910,1,B2,10,2025-11-17 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3048,53,,S2,4411 3 AVENUE,,10457,2,1,3,2569,3750,1931,1,S2,2820000,2025-08-07 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3050,96,,B2,2244 BASSFORD AVE,,10457,2,0,2,1450,3549,1901,1,B2,0,2025-04-11 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053,6,,B9,2304 BASSFORD,,10458,2,0,2,2129,2960,1901,1,B9,0,2025-07-04 00:00:00
2,BATHGATE,02 TWO FAMILY DWELLINGS,1,3053,15,,B2,2305 BATHGATE AVENUE,,10458,2,0,2,2358,2652,1901,1,B2,849999,2025-05-23 00:00:00
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3036,16,,C0,4354 PARK AVENUE,,10457,3,0,3,3525,2316,1899,1,C0,1050000,2025-12-03 00:00:00
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3039,68,,C0,459 EAST 185TH STREET,,10458,3,0,3,1650,2664,1910,1,C0,0,2025-06-25 00:00:00
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3039,68,,C0,459 EAST 185TH STREET,,10458,3,0,3,1650,2664,1910,1,C0,806000,2025-04-29 00:00:00
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3041,6,,C0,4686 PARK AVENUE,,10458,3,0,3,1404,3900,2004,1,C0,0,2025-07-02 00:00:00
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3044,51,,C0,1966 BATHGATE AVENUE,,10457,3,0,3,2880,3132,1910,1,C0,0,2025-12-19 00:00:00
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3044,58,,C0,1980 BATHGATE AVE,,10457,3,0,3,1461,2238,1901,1,C0,755000,2025-12-17 00:00:00
2,BATHGATE,03 THREE FAMILY DWELLINGS,1,3046,144,,C0,2056 WASHINGTON AVE,,10457,3,0,3,1995,2901,2000,1,C0,1,2025-12-11 00:00:00
2,BATHGATE,05 TAX CLASS 1 VACANT LAND,1B,2896,96,,V0,404 CLAREMONT PARKWAY,,10457,0,0,0,2811,0,,1,V0,3,2025-09-25 00:00:00
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2,2912,1,,C7,1512 WASHINGTON AVENUE,,10457,13,2,15,2964,13685,1925,2,C7,0,2025-05-09 00:00:00
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2,2912,2,,C1,1514 WASHINGTON AVENUE,,10457,11,0,11,2600,11784,1925,2,C1,0,2025-05-09 00:00:00
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2B,3032,3,,C1,2408 WEBSTER AVENUE,,10458,8,0,8,3441,9240,1909,2,C1,1050000,2025-11-14 00:00:00
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2B,3032,6,,C7,2420 WEBSTER AVENUE,,10458,8,1,9,4444,9333,1909,2,C7,1050000,2025-11-14 00:00:00
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2A,3037,99,,C3,2137 WASHINGTON AVENUE,,10457,4,0,4,2719,3348,1901,2,C3,0,2025-06-12 00:00:00
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2B,3050,98,,C1,2248 BASSFORD AVENUE,,10457,8,0,8,2578,8820,1910,2,C1,1400000,2025-08-28 00:00:00
2,BATHGATE,10 COOPS - ELEVATOR APARTMENTS,2,3044,40,,D4,"495 E 178TH ST, 3G",,10457,,,,,,1941,2,D4,110000,2025-09-03 00:00:00
2,BATHGATE,10 COOPS - ELEVATOR APARTMENTS,2,3044,40,,D4,"495 E 178TH STREET, 3C",,10457,,,,,,1941,2,D4,70000,2025-05-30 00:00:00
2,BATHGATE,14 RENTALS - 4-10 UNIT,2A,2912,26,,S4,3825 3 AVENUE,,10457,4,1,5,2000,5940,2011,2,S4,1300000,2025-07-03 00:00:00
2,BATHGATE,14 RENTALS - 4-10 UNIT,2A,3048,52,,S4,4413 3 AVENUE,,10457,4,1,5,2500,6000,1931,2,S4,2820000,2025-08-07 00:00:00
2,BATHGATE,21 OFFICE BUILDINGS,4,3034,1,,V1,441 EAST TREMONT AVE,,10457,0,0,0,5888,0,1931,4,O7,4000000,2025-06-30 00:00:00
2,BATHGATE,22 STORE BUILDINGS,4,3034,56,,K9,445 EAST TREMONT AVE,,10457,0,2,2,2390,5880,1931,4,K9,2000000,2025-06-30 00:00:00
2,BATHGATE,29 COMMERCIAL GARAGES,4,2899,48,,G7,410 EAST 175 STREET,,10457,0,0,0,2714,0,,4,G7,2450000,2026-02-18 00:00:00
2,BATHGATE,29 COMMERCIAL GARAGES,4,3040,42,,G4,4643 THIRD AVENUE,,10458,0,1,1,7272,1962,1915,4,G4,1300000,2025-12-29 00:00:00
2,BATHGATE,29 COMMERCIAL GARAGES,4,3044,94,,G7,4259 3 AVENUE,,10457,0,0,0,2900,0,,4,G7,1275000,2025-05-21 00:00:00
2,BATHGATE,29 COMMERCIAL GARAGES,4,3053,18,,G7,2299 BATHGATE AVE,,10458,0,0,0,1127,0,,4,G7,0,2025-07-07 00:00:00
2,BATHGATE,29 COMMERCIAL GARAGES,4,3053,19,,G7,2297 BATHGATE AVE,,10458,0,0,0,1133,0,,4,G7,0,2025-07-07 00:00:00
2,BATHGATE,29 COMMERCIAL GARAGES,4,3053,20,,G7,2295 BATHGATE AVE,,10458,0,0,0,1073,0,,4,G7,0,2025-07-07 00:00:00
2,BATHGATE,29 COMMERCIAL GARAGES,4,3053,21,,G7,2293 BATHGATE AVE,,10458,0,0,0,4460,0,,4,G7,0,2025-07-07 00:00:00
2,BATHGATE,30 WAREHOUSES,4,2899,46,,E9,406 EAST 175 STREET,,10457,0,1,1,3975,7950,1987,4,E9,2450000,2026-02-18 00:00:00
2,BATHGATE,30 WAREHOUSES,4,2907,63,,E1,410 EAST 174 STREET,,10457,0,1,1,5029,5000,1954,4,E1,1400000,2025-07-23 00:00:00
2,BATHGATE,30 WAREHOUSES,4,2908,47,,E2,453 EAST 175 STREET,,10457,0,3,3,5115,5115,1989,4,E2,1911000,2025-12-18 00:00:00
2,BATHGATE,30 WAREHOUSES,4,3027,35,,E1,4239 PARK AVENUE,,10457,0,1,1,3242,2250,1910,4,E1,1190000,2025-04-04 00:00:00
2,BATHGATE,30 WAREHOUSES,4,3041,21,,E1,2395 WASHINGTON AVE,,10458,0,1,1,12700,12700,1931,4,E1,2400000,2025-12-31 00:00:00
2,BATHGATE,30 WAREHOUSES,4,3052,29,,E9,4561 3 AVENUE,,10458,0,2,2,3112,3112,1931,4,E9,0,2025-12-08 00:00:00
2,BATHGATE,32 HOSPITAL AND HEALTH FACILITIES,4,2923,27,,I5,4137 3 AVENUE,,10457,0,3,3,5515,9350,1931,4,I5,3750000,2025-04-04 00:00:00
2,BATHGATE,32 HOSPITAL AND HEALTH FACILITIES,4,2923,27,,I5,4137 3 AVENUE,,10457,0,3,3,7337,9350,1931,4,I5,0,2025-12-01 00:00:00
