Queens Rolling Sales. All Sales From April 2025 - March 2026,,,,,,,,,,,,,,,,,,,PTS Sales Data as of 04/09/2026
"For sales prior to the Final Roll, Neighborhood Name and Descriptive Data reflect the most recent Final Roll. Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data."
Building Class Category is based on Building Class at Time of Sale.
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
4,AIRPORT JFK,31 COMMERCIAL VACANT LAND,4,14260,85,,V7,N/A ROCKAWAY BLVD,,11434,0,0,0,109228,0,,4,V7,8872370,2025-12-17 00:00:00
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,34,,A5,19-48 81ST STREET,,11370,1,0,1,1800,1224,1945,1,A5,960000,2025-04-14 00:00:00
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,949,38,,A5,19-56 81ST STREET,,11370,1,0,1,1800,1224,1945,1,A5,945000,2026-01-21 00:00:00
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,12,,A5,21-14 81ST STREET,,11370,1,0,1,1800,1224,1950,1,A5,0,2025-10-22 00:00:00
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,43,,A5,21-57 80 STREET,,11370,1,0,1,1800,1224,1950,1,A5,0,2025-05-09 00:00:00
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,45,,A5,21-53 80 STREET,,11370,1,0,1,1800,1224,1950,1,A5,0,2025-04-21 00:00:00
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,50,,A5,21-43 80TH STREET,,11370,1,0,1,1800,1224,1950,1,A5,845000,2026-01-05 00:00:00
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,976,53,,A5,21-37 80 STREET,,11370,1,0,1,1800,1224,1950,1,A5,0,2025-10-06 00:00:00
4,AIRPORT LA GUARDIA,12 CONDOS - WALKUP APARTMENTS,2,949,1033,,R2,"80-18 19TH AVENUE, 1",1,11370,1,,1,,,,2,R2,530000,2025-12-08 00:00:00
4,AIRPORT LA GUARDIA,12 CONDOS - WALKUP APARTMENTS,2,949,1034,,R2,"80-18 19 AVENUE, 2",2,11370,1,,1,,,,2,R2,575201,2025-10-09 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15828,4,,A2,3-10 BEACH 39 STREET,,11691,1,0,1,1552,1000,1940,1,A2,550000,2025-12-12 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15828,5,,A2,3-12 BEACH 39 STREET,,11691,1,0,1,1549,800,1940,1,A2,0,2025-11-22 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15830,5,,A6,40-10 ROCKAWAY BEACH BLVD,,11691,1,0,1,1594,482,1920,1,A6,150000,2025-12-03 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15831,24,,A2,3-31 BEACH 41ST STREET,,11691,1,0,1,3804,1600,1930,1,A2,680000,2025-10-16 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15837,25,,A6,350 BEACH 46TH STREET,,11691,1,0,1,3804,1292,1925,1,A6,0,2025-07-10 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15839,61,,A2,319 BEACH 47 STREET,,11691,1,0,1,2853,1040,1920,1,A2,566500,2026-03-09 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15905,185,,A5,63-07 OCEAN AVENUE NORTH,,11692,1,0,1,3045,2515,2014,1,A5,600000,2025-08-04 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15908,12,,A0,63-15 BEACH CHANNEL DRIVE,,11692,1,0,1,4000,1020,1950,1,A0,700000,2025-08-13 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15915,24,,A1,3-06 BEACH 68 STREET,,11692,1,0,1,8488,3689,2003,1,A1,1125000,2025-05-08 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1B,15915,24,,V0,3-06 BEACH 68 STREET,,11692,0,0,0,6037,0,2003,1,A1,825000,2025-11-25 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15952,56,,A5,407 BEACH 35 ST,,11691,1,0,1,3205,1200,2003,1,A5,600000,2025-10-27 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15953,14,,A5,426 BEACH 37 STREET,,11691,1,0,1,4500,1200,2003,1,A5,10,2025-10-24 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15954,70,,A1,423 BEACH 37 STREET,,11691,1,0,1,4000,1440,1920,1,A1,0,2025-12-23 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15962,88,,A1,515 BEACH 43RD STREET,,11691,1,0,1,1351,1496,1920,1,A1,570000,2025-12-09 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15966,35,,A2,516 BEACH 45 STREET,,11691,1,0,1,2282,1296,1920,1,A2,499999,2025-12-01 00:00:00
4,ARVERNE,01 ONE FAMILY DWELLINGS,1,15968,6,,A1,408 BEACH 46 STREET,,11691,1,0,1,2378,1408,2004,1,A1,0,2025-06-04 00:00:00
