Staten Island Rolling Sales. All Sales From April 2025 - March 2026,,,,,,,,,,,,,,,,,,,PTS Sales Data as of 04/09/2026
"For sales prior to the Final Roll, Neighborhood Name and Descriptive Data reflect the most recent Final Roll. Sales after the Final Roll, Neighborhood Name and Descriptive Data reflect current data."
Building Class Category is based on Building Class at Time of Sale.
Note: Condominium and cooperative sales are on the unit level and understood to have a count of one.
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5391,12,,A5,4718 AMBOY ROAD,,10312,1,0,1,1746,910,2002,1,A5,655000,2025-06-17 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5394,32,,A2,25 EDWIN STREET,,10312,1,0,1,5000,1056,1955,1,A2,1100000,2025-10-17 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5395,4,,A1,26 EDWIN STREET,,10312,1,0,1,7654,2277,1980,1,A1,0,2025-07-17 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5398,1,,A1,34 EYLANDT ST,,10312,1,0,1,9968,3516,1984,1,A1,0,2025-10-17 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5398,6,,A1,24 EYLANDT STREET,,10312,1,0,1,10080,3408,1984,1,A1,0,2025-05-22 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5398,6,,A1,24 EYLANDT STREET,,10312,1,0,1,10080,3408,1984,1,A1,1150000,2025-12-10 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5401,5,,A2,28 JANSEN STREET,,10312,1,0,1,5416,1623,1980,1,A2,1150000,2025-10-01 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5404,5,,A1,110 NOEL STREET,,10312,1,0,1,5800,2700,1998,1,A1,1417000,2025-04-29 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5406,35,,A5,103 ELMBANK STREET,,10312,1,0,1,2500,1200,1999,1,A5,635000,2025-04-28 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,5406,37,,A5,111 ELMBANK STREET,,10312,1,0,1,2500,1200,1999,1,A5,838888,2026-02-09 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,124,,A5,22 MAY PLACE,,10312,1,0,1,2475,2495,1986,1,A5,900000,2025-10-30 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6205,128,,A5,14 MAY PLACE,,10312,1,0,1,2400,2495,1986,1,A5,0,2025-09-22 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,1,,A5,39 EAGAN AVE,,10312,1,0,1,2600,1825,1986,1,A5,755500,2025-07-30 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,20,,A5,9 EAGAN AVENUE,,10312,1,0,1,1508,1521,1986,1,A5,630000,2025-10-23 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6211,33,,A5,102 SEGUINE PLACE,,10312,1,0,1,1550,1521,1986,1,A5,136956,2025-06-09 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,57,,A5,95 LORRAINE AVENUE,,10312,1,0,1,2400,1548,2005,1,A5,710000,2025-09-11 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6212,89,,A1,1094 ARDEN AVENUE,,10312,1,0,1,4200,1536,1970,1,A1,0,2025-09-16 00:00:00
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6219,24,,A5,49 ENDVIEW STREET,,10312,1,0,1,2260,1700,2004,1,A5,755000,2025-08-01 00:00:00
